iter	Logloss
0	0.6689425298
1	0.6448867647
2	0.6234037099
3	0.6044576807
4	0.5871661327
5	0.571014433
6	0.5551230851
7	0.5441020369
8	0.5333098164
9	0.5238039838
10	0.5156898371
11	0.5076201952
12	0.5002953234
13	0.4919713737
14	0.4840431679
15	0.4783094668
16	0.471973938
17	0.465945434
18	0.4600238607
19	0.4544848226
20	0.449391016
21	0.4444262096
22	0.4394324665
23	0.4348343807
24	0.4210043968
25	0.4126206205
26	0.4066120468
27	0.4039775605
28	0.4014369842
29	0.3988060464
30	0.394481538
31	0.3915639413
32	0.3897161243
33	0.388093238
34	0.3797147818
35	0.3781287733
36	0.3738031146
37	0.3716885528
38	0.3697450304
39	0.3666992058
40	0.3570961646
41	0.3555281096
42	0.3543303478
43	0.3489240042
44	0.347189645
45	0.3453135184
46	0.3434052521
47	0.3406330378
48	0.3386710162
49	0.336408856
50	0.33557024
51	0.3349070525
52	0.3336221917
53	0.33290013
54	0.3315418625
55	0.3287543445
56	0.3270286372
57	0.3233313551
58	0.3215701366
59	0.3200168388
60	0.3182962202
61	0.3175868383
62	0.3133247544
63	0.3126255982
64	0.3119866226
65	0.3112793085
66	0.3099542199
67	0.3087589827
68	0.3078199586
69	0.3063014922
70	0.3054832354
71	0.3050201182
72	0.3041005889
73	0.30303008
74	0.3024283039
75	0.3013117049
76	0.3004511563
77	0.3000807406
78	0.298889417
79	0.2979125043
80	0.2969960591
81	0.2959657666
82	0.2952614945
83	0.2942024147
84	0.2938001066
85	0.2933269224
86	0.2923223435
87	0.2908066372
88	0.290450028
89	0.290180276
90	0.2894592809
91	0.2870040818
92	0.2865192007
93	0.2861282041
94	0.2852315539
95	0.2845374344
96	0.2839154092
97	0.2830797149
98	0.2823277711
99	0.2820090392
100	0.2816542372
101	0.2813783783
102	0.2810393587
103	0.280045313
104	0.2797933677
105	0.2789971988
106	0.2786574668
107	0.2777047703
108	0.2771895022
109	0.2770275711
110	0.2768320754
111	0.2753868783
112	0.2748465724
113	0.2747012831
114	0.2733601749
115	0.2731328441
116	0.2728912168
117	0.2721241249
118	0.2716899716
119	0.2711517067
120	0.2709058273
121	0.2704270769
122	0.2698462696
123	0.2683394832
124	0.2676687107
125	0.2675139726
126	0.2672573878
127	0.2670906604
128	0.2657470791
129	0.2655736888
130	0.2650911628
131	0.2647395346
132	0.2645454519
133	0.2643601891
134	0.2637434821
135	0.2636029496
136	0.2634816749
137	0.2633310946
138	0.2631547535
139	0.2629663346
140	0.2626585371
141	0.2625543997
142	0.2622784877
143	0.2619414472
144	0.2616824715
145	0.2615138766
146	0.2612107612
147	0.2607868397
148	0.2606798618
149	0.2605152068
150	0.260396504
151	0.2602973679
152	0.2600262962
153	0.259785781
154	0.259636831
155	0.2594997607
156	0.2593671304
157	0.2587791
158	0.2582444763
159	0.2579980279
160	0.2578804835
161	0.2577395339
162	0.2573582284
163	0.2572159372
164	0.2571067973
165	0.2569946772
166	0.2568284177
167	0.2565664417
168	0.2564752263
169	0.2563640297
170	0.256178551
171	0.2559002806
172	0.255681906
173	0.2555874063
174	0.2549334413
175	0.2547801717
176	0.2546207761
177	0.2545537719
178	0.2542586738
179	0.2539977596
180	0.2537803671
181	0.2534483191
182	0.252890826
183	0.2527636434
184	0.2522886342
185	0.2518028831
186	0.2517121823
187	0.2515385704
188	0.2514270139
189	0.2512847495
190	0.2508345731
191	0.2507433364
192	0.2503185579
193	0.2499497507
194	0.2493316274
195	0.249251564
196	0.2489484022
197	0.2488252022
198	0.2487305333
199	0.2486303747
200	0.2485640596
201	0.2485057
202	0.2484063892
203	0.2482906725
204	0.2479950445
205	0.2476848863
206	0.24749178
207	0.247372088
208	0.2473011179
209	0.2469054938
210	0.2468156956
211	0.2464561721
212	0.2457012337
213	0.2455535289
214	0.2453505291
215	0.2452542457
216	0.2451391141
217	0.2450785203
218	0.2450055431
219	0.2446364491
220	0.2444567239
221	0.2442700019
222	0.2441726123
223	0.2440434535
224	0.2437136749
225	0.2433243017
226	0.2432255798
227	0.2429907264
228	0.2429223032
229	0.242784307
230	0.2427156516
231	0.2426130678
232	0.2425564372
233	0.242291053
234	0.2422072235
235	0.2421075004
236	0.2420328963
237	0.2419503032
238	0.241876423
239	0.2417984397
240	0.241507464
241	0.2414449491
242	0.2409864437
243	0.240831604
244	0.2405947409
245	0.2405193055
246	0.2404424122
247	0.2403558526
248	0.2398202726
249	0.2397410414
250	0.2395136097
251	0.2394011295
252	0.2392752115
253	0.2391702499
254	0.2390801358
255	0.2388671688
256	0.2387923646
257	0.2386948429
258	0.2385836553
259	0.2384754118
260	0.2384002394
261	0.2382622542
262	0.2381521172
263	0.2379848385
264	0.2379125462
265	0.2378406825
266	0.2377652824
267	0.2376677635
268	0.2375464124
269	0.2373364323
270	0.2371448697
271	0.2370702256
272	0.236956484
273	0.2368792986
274	0.2368011857
275	0.2367364282
276	0.2366206734
277	0.2364994247
278	0.2363759034
279	0.2362765847
280	0.2361899348
281	0.2357506973
282	0.2356790492
283	0.2356095389
284	0.2355550166
285	0.2354855801
286	0.2352440545
287	0.2350734801
288	0.2350017407
289	0.2347488386
290	0.2346655116
291	0.23444415
292	0.234357667
293	0.2342122025
294	0.2341021553
295	0.233885237
296	0.2338096178
297	0.2337362584
298	0.2336493913
299	0.2335755141
300	0.2335228403
301	0.2333945285
302	0.233228182
303	0.2331106715
304	0.2330417029
305	0.2329610842
306	0.2327788923
307	0.2327192225
308	0.232665608
309	0.2326044389
310	0.2325423425
311	0.2324897585
312	0.2324346339
313	0.2323467081
314	0.23226904
315	0.2321978944
316	0.2319954307
317	0.2317521925
318	0.2316956639
319	0.231623833
320	0.2314722511
321	0.2314168879
322	0.2313153643
323	0.2312398425
324	0.2311728639
325	0.2311076027
326	0.2309978675
327	0.2308617
328	0.2308013944
329	0.230712653
330	0.2306489347
331	0.230508372
332	0.2304493779
333	0.2304039262
334	0.2303513077
335	0.2303004003
336	0.2302183561
337	0.2301465103
338	0.2300810827
339	0.2300373487
340	0.2299560641
341	0.2298827363
342	0.2298355895
343	0.2297831309
344	0.2297144509
345	0.2296310867
346	0.2295764596
347	0.2294302554
348	0.2293535763
349	0.229291013
350	0.2291267396
351	0.2290366337
352	0.2289858462
353	0.2288953723
354	0.2288457851
355	0.2287817019
356	0.2287378294
357	0.228686261
358	0.2286247278
359	0.2284445864
360	0.2282796132
361	0.2282317698
362	0.2281895308
363	0.2281304869
364	0.2280732762
365	0.2280074685
366	0.2279609834
367	0.2278898454
368	0.2277975941
369	0.2277518433
370	0.2276953133
371	0.227654443
372	0.22759746
373	0.2275233705
374	0.2273645278
375	0.2273108234
376	0.2272551648
377	0.2271156696
378	0.2270290758
379	0.2269792945
380	0.226927759
381	0.2268860021
382	0.2268504351
383	0.2267939696
384	0.2266291429
385	0.2265807284
386	0.2265255623
387	0.2264867909
388	0.2264016693
389	0.2263425957
390	0.2262699586
391	0.2262243074
392	0.2261491122
393	0.2261087322
394	0.2260279262
395	0.2259888134
396	0.2259548418
397	0.2259116044
398	0.2258583011
399	0.2258107598
400	0.2257576348
401	0.2256953473
402	0.2256459742
403	0.2255902467
404	0.2254640085
405	0.2253267231
406	0.2252943389
407	0.2252286667
408	0.2251761559
409	0.2251214537
410	0.2250852742
411	0.2250411284
412	0.2249302142
413	0.2248695048
414	0.2247564613
415	0.2247016939
416	0.2246599902
417	0.2246074345
418	0.2245524528
419	0.2245010075
420	0.2244532248
421	0.2244047718
422	0.2243576996
423	0.2243114982
424	0.224273034
425	0.2241977909
426	0.2241551547
427	0.2241099261
428	0.2237069141
429	0.2233395924
430	0.2232547507
431	0.2229961016
432	0.2229322321
433	0.2227619343
434	0.2226363383
435	0.2224964982
436	0.2224427848
437	0.2223851745
438	0.2222417077
439	0.2221205623
440	0.2220793982
441	0.2219828554
442	0.2219308597
443	0.2217143292
444	0.221652136
445	0.2216014372
446	0.2215299368
447	0.2214707575
448	0.221417204
449	0.2213656481
450	0.221280987
451	0.2212299156
452	0.2211817896
453	0.2211188669
454	0.2210702621
455	0.2209757822
456	0.2209157102
457	0.2208502499
458	0.2207861679
459	0.2207586168
460	0.2207148056
461	0.2206733185
462	0.2206265527
463	0.2205745288
464	0.2205397317
465	0.2205055005
466	0.2204459449
467	0.2204021597
468	0.2203388796
469	0.2202975845
470	0.2202700229
471	0.2201830673
472	0.2201557541
473	0.2201031607
474	0.2200617179
475	0.2199962082
476	0.2199556994
477	0.2198974894
478	0.2198405341
479	0.2196972134
480	0.2196611666
481	0.2195939526
482	0.2195622112
483	0.219503962
484	0.2194515849
485	0.2194133581
486	0.2193335709
487	0.2192806401
488	0.2192439118
489	0.2192024237
490	0.2190623856
491	0.2189509661
492	0.218897858
493	0.2188451835
494	0.2187812343
495	0.2187328654
496	0.218693306
497	0.2186695419
498	0.2185873327
499	0.2185405788
500	0.2184998083
501	0.2184407374
502	0.2184027608
503	0.2183311875
504	0.2182983514
505	0.2182706516
506	0.2182328308
507	0.2181797321
508	0.2181433771
509	0.2181123885
510	0.2180632374
511	0.2180070007
512	0.2179757341
513	0.2179148386
514	0.217859653
515	0.2178004018
516	0.2177544962
517	0.2177145054
518	0.2176614958
519	0.2176137894
520	0.2174971861
521	0.2174579875
522	0.2174159753
523	0.2173641936
524	0.2173265215
525	0.2172795432
526	0.217210603
527	0.2171510548
528	0.2171087497
529	0.2170645133
530	0.217031409
531	0.216986641
532	0.216936553
533	0.2168874071
534	0.2168359601
535	0.2167885674
536	0.216727432
537	0.2166773348
538	0.2166369076
539	0.2165963956
540	0.2165564903
541	0.2165148877
542	0.2164701418
543	0.2164312055
544	0.216388046
545	0.216359444
546	0.2163105638
547	0.2162719864
548	0.2162497191
549	0.2162090018
550	0.2161729868
551	0.2161437822
552	0.2161008693
553	0.2160583488
554	0.2160269234
555	0.2159606139
556	0.2159228642
557	0.2158712064
558	0.2158324456
559	0.2157897745
560	0.2157447938
561	0.2157073022
562	0.2156628745
563	0.2156175762
564	0.2155832259
565	0.2155361034
566	0.2154944255
567	0.2154493253
568	0.2153972535
569	0.2153544087
570	0.2153088381
571	0.2152749698
572	0.2152155624
573	0.2151876488
574	0.2151505693
575	0.2151083332
576	0.2150604504
577	0.215005624
578	0.2149711791
579	0.2149348552
580	0.214900532
581	0.214872476
582	0.2148323357
583	0.2147707295
584	0.2147281166
585	0.2146772459
586	0.2146190257
587	0.2145748229
588	0.2145324694
589	0.2144898856
590	0.2144429189
591	0.2144021985
592	0.2143458674
593	0.2143042519
594	0.2141543625
595	0.214123213
596	0.2140914799
597	0.2140613559
598	0.2140249506
599	0.2139671971
600	0.2138859871
601	0.2138556431
602	0.2138106252
603	0.2137723861
604	0.2137244989
605	0.213681179
606	0.2136139116
607	0.2135905132
608	0.2135523015
609	0.2134947307
610	0.2134648821
611	0.2134345106
612	0.2133813472
613	0.2132760794
614	0.2132454439
615	0.2132130571
616	0.2131727341
617	0.2131353739
618	0.213095383
619	0.2130681637
620	0.2130153065
621	0.2129774865
622	0.2129348136
623	0.2128963785
624	0.2128711573
625	0.2128167973
626	0.2127734282
627	0.2127253588
628	0.2126606305
629	0.2126235558
630	0.2125808151
631	0.2125507967
632	0.2125278337
633	0.2124924
634	0.2124577106
635	0.2124155434
636	0.2123830617
637	0.2123572021
638	0.2123284243
639	0.2122904391
640	0.2122580832
641	0.2122140112
642	0.2121798019
643	0.2121410433
644	0.2121031673
645	0.2120749814
646	0.2120402448
647	0.2120095257
648	0.2119675328
649	0.2118754564
650	0.2118452117
651	0.2118077832
652	0.2117727552
653	0.2117391293
654	0.2117058675
655	0.2116747202
656	0.2116367993
657	0.211607696
658	0.2115517397
659	0.2115030643
660	0.2114754876
661	0.2114315628
662	0.21137205
663	0.2113427766
664	0.2113155863
665	0.2112860713
666	0.2112500579
667	0.2112142345
668	0.2111810302
669	0.2111493605
670	0.2111137673
