iter	Passed	Remaining
401	13233	52603
402	13259	52544
403	13282	52470
404	13315	52441
405	13373	52507
406	13447	52635
407	13527	52784
408	13582	52836
409	13620	52819
410	13643	52748
411	13667	52679
412	13692	52613
413	13716	52545
414	13740	52479
415	13763	52406
416	13785	52333
417	13808	52261
418	13836	52208
419	13859	52139
420	13888	52088
421	13914	52031
422	13941	51977
423	13973	51938
424	13999	51879
425	14026	51826
426	14052	51765
427	14078	51709
428	14104	51649
429	14132	51599
430	14157	51540
431	14186	51493
432	14213	51438
433	14243	51396
434	14269	51336
435	14297	51285
436	14328	51249
437	14357	51203
438	14391	51172
439	14416	51111
440	14440	51050
441	14466	50991
442	14489	50924
443	14514	50865
444	14542	50817
445	14568	50760
446	14592	50697
447	14618	50641
448	14643	50582
449	14676	50551
450	14703	50500
451	14727	50440
452	14750	50372
453	14776	50319
454	14804	50269
455	14827	50206
456	14852	50149
457	14878	50093
458	14903	50034
459	14926	49972
460	14950	49909
461	14973	49845
462	14997	49787
463	15023	49732
464	15045	49665
465	15073	49619
466	15097	49558
467	15123	49505
468	15148	49451
469	15172	49391
470	15193	49323
471	15215	49257
472	15235	49185
473	15258	49122
474	15279	49055
475	15303	48997
476	15337	48972
477	15389	49001
478	15431	48999
479	15467	48980
480	15504	48963
481	15545	48958
482	15586	48954
483	15623	48935
484	15662	48924
485	15703	48918
486	15738	48897
487	15776	48881
488	15804	48834
489	15837	48805
490	15869	48773
491	15965	48934
492	16035	49017
493	16069	48988
494	16093	48932
495	16117	48872
496	16141	48814
497	16163	48750
498	16190	48699
499	16220	48660
500	16246	48608
501	16269	48548
502	16293	48492
503	16319	48440
504	16348	48399
505	16374	48347
506	16399	48291
507	16425	48241
508	16448	48182
509	16474	48131
510	16497	48072
511	16522	48017
512	16544	47955
513	16569	47902
514	16593	47847
515	16619	47798
516	16647	47752
517	16672	47699
518	16694	47638
519	16721	47591
520	16744	47532
521	16769	47481
522	16791	47421
523	16815	47365
524	16838	47307
525	16862	47252
526	16886	47197
527	16910	47144
528	16937	47098
529	16966	47057
530	16993	47011
531	17021	46969
532	17054	46940
533	17078	46885
534	17101	46830
535	17123	46769
536	17147	46715
537	17173	46667
538	17263	46795
539	17344	46894
540	17413	46960
541	17484	47034
542	17528	47032
543	17553	46982
544	17578	46928
545	17602	46874
546	17628	46825
547	17652	46772
548	17673	46709
549	17698	46660
550	17722	46606
551	17747	46555
552	17772	46504
553	17793	46443
554	17814	46382
555	17838	46328
556	17862	46275
557	17888	46227
558	17914	46179
559	17935	46120
560	17958	46064
561	17981	46008
562	18005	45958
563	18030	45908
564	18053	45852
565	18083	45815
566	18112	45775
567	18140	45734
568	18163	45679
569	18185	45622
570	18212	45578
571	18237	45529
572	18264	45485
573	18298	45460
574	18326	45417
575	18351	45368
576	18380	45330
577	18405	45282
578	18433	45239
579	18458	45191
580	18482	45141
581	18510	45099
582	18534	45049
583	18559	45000
584	18585	44954
585	18608	44901
586	18632	44851
587	18655	44799
588	18680	44751
589	18704	44700
590	18730	44656
591	18754	44606
592	18785	44571
593	18807	44517
594	18835	44476
595	18863	44436
596	18893	44401
597	18917	44352
598	18940	44299
599	18964	44250
600	18992	44210
601	19013	44155
602	19035	44099
603	19058	44048
604	19084	44005
605	19110	43960
606	19133	43909
607	19156	43858
608	19182	43814
609	19215	43787
610	19245	43750
611	19272	43710
612	19297	43664
613	19326	43625
614	19347	43570
615	19370	43521
616	19395	43473
617	19417	43423
618	19444	43380
619	19467	43330
620	19492	43284
621	19514	43233
622	19538	43186
623	19564	43141
624	19591	43101
625	19618	43060
626	19643	43016
627	19669	42973
628	19694	42926
629	19720	42883
630	19750	42849
631	19846	42959
632	19925	43030
633	19979	43047
634	20011	43016
635	20040	42979
636	20069	42943
637	20093	42895
638	20119	42851
639	20149	42817
640	20180	42786
641	20214	42759
642	20237	42710
643	20265	42670
644	20288	42622
645	20312	42574
646	20337	42529
647	20364	42489
648	20393	42451
649	20416	42403
650	20441	42359
651	20464	42310
652	20487	42261
653	20508	42208
654	20532	42161
655	20555	42113
656	20577	42063
657	20603	42021
658	20636	41992
659	20666	41958
660	20689	41911
661	20712	41862
662	20739	41823
663	20763	41777
664	20790	41737
665	20818	41699
666	20841	41652
667	20869	41613
668	20904	41590
669	20930	41547
670	20960	41514
671	21054	41608
672	21130	41664
673	21211	41731
674	21254	41722
675	21279	41676
676	21304	41632
677	21353	41636
678	21424	41681
679	21464	41665
680	21497	41637
681	21538	41623
682	21574	41600
683	21620	41596
684	21650	41562
685	21675	41517
686	21698	41470
687	21719	41419
688	21743	41372
689	21766	41324
690	21788	41275
691	21815	41234
692	21837	41185
693	21860	41138
694	21884	41092
695	21934	41096
696	21998	41124
697	22038	41109
698	22081	41098
699	22124	41087
700	22164	41071
701	22208	41062
702	22273	41092
703	22332	41112
704	22390	41128
705	22429	41109
706	22467	41089
707	22504	41066
708	22542	41046
709	22576	41019
710	22600	40973
711	22624	40928
712	22648	40881
713	22673	40837
714	22697	40791
715	22721	40746
716	22746	40703
717	22778	40670
718	22799	40620
719	22824	40576
720	22848	40531
721	22877	40495
722	22902	40451
723	22928	40410
724	22950	40361
725	22971	40311
726	22996	40268
727	23019	40221
728	23071	40225
729	23102	40192
730	23127	40149
731	23150	40101
732	23191	40086
733	23242	40088
734	23296	40096
735	23343	40089
736	23386	40076
737	23426	40060
738	23512	40120
739	23579	40148
740	23649	40182
741	23722	40220
742	23757	40192
743	23788	40158
744	23815	40118
745	23840	40074
746	23864	40029
747	23891	39990
748	23917	39947
749	23943	39906
750	23971	39866
751	23994	39820
752	24017	39773
753	24040	39727
754	24063	39680
755	24087	39635
756	24109	39587
757	24131	39539
758	24157	39498
